id,name,code,scale,contained_in,slug
110574-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-93-94-987,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_93_94_987,id_110574,Ad-hoc,,
110575-regions-01-02-03-04-06-11-24-27-32-44-52-75-76-93-94-987,regions_01_02_03_04_06_11_24_27_32_44_52_75_76_93_94_987,id_110575,Ad-hoc,,
110576-regions-27-75-76-84-93,regions_27_75_76_84_93,id_110576,Ad-hoc,,
110577-regions-11-24-27-28-32-44-52-75-76-93-94,regions_11_24_27_28_32_44_52_75_76_93_94,id_110577,Ad-hoc,,
110578-regions-01-02-03-04-06-11-27-32-44-52-75-76-93-94-987-988,regions_01_02_03_04_06_11_27_32_44_52_75_76_93_94_987_988,id_110578,Ad-hoc,,
110579-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-94-975-987,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_94_975_987,id_110579,Ad-hoc,,
110580-rhone-departement-hors-metropole-de-lyon,Rhône Département (hors métropole de Lyon),Rhône - métropol,Ad-hoc,,
110581-somme-aisne-oise,"Somme, Aisne, Oise",Somme Aisne Oise,Ad-hoc,,
110582-france-guadeloupe-martinique-la-reunion-saint-barthelemy-et-saint-martin,"France, Guadeloupe, Martinique, La Réunion, Saint-Barthelemy et Saint-Martin",MaifViv,Ad-hoc,,
110583-territoires-enedis,Territoires Enedis,Enedis,Ad-hoc,,
110584-syndicat-des-eaux-de-volmunster,Syndicat des eaux de Volmunster,SEV,Ad-hoc,,
110585-gal-de-l-artois,GAL de l'Artois,Galartois,Ad-hoc,,
110586-gal-alsace-centrale,GAL Alsace Centrale,Galac,Ad-hoc,,
110587-communes-de-la-seine-maritime-de-moins-de-2000-habitants,Communes de la Seine-Maritime de moins de 2000 habitants,76_-2000,Ad-hoc,,
110588-communes-de-la-seine-maritime-de-moins-de-5000-habitants,Communes de la Seine-Maritime de moins de 5000 habitants,76_-5000,Ad-hoc,,
110589-communes-de-la-seine-maritime-de-moins-de-10000-habitants,Communes de la Seine-Maritime de moins de 10000 habitants,76_-10000,Ad-hoc,,
110590-communes-de-la-seine-maritime-de-moins-de-20000-habitants,Communes de la Seine-Maritime de moins de 20000 habitants,76_-20000,Ad-hoc,,
110591-epci-de-la-seine-maritime-hors-metropole-de-rouen-et-cu-le-havre,EPCI de la Seine-Maritime hors Métropole de Rouen et CU Le Havre,76_EPCI-CU,Ad-hoc,,
110592-epci-de-la-seine-maritime-hors-metropole-de-rouen-cu-et-ca,"EPCI de la Seine-Maritime hors Métropole de Rouen, CU et CA",76_EPCI-CU/CA,Ad-hoc,,
110593-syndicat-mixte-du-lac-d-annecy,Syndicat Mixte du Lac d'Annecy,SILA,Ad-hoc,,
110594-gal-graves-et-landes,GAL Graves et Landes,GGL,Ad-hoc,,
110600-syndicat-intercommunal-de-collecte-des-ordures-menageres-de-l-arrondissement-de-rethel-sicomar,Syndicat Intercommunal de Collecte des Ordures Ménagères de l'Arrondissement de Rethel (SICOMAR),SICOMAR,Ad-hoc,,
110605-syndicat-mixte-de-collecte-et-traitement-des-ordures-menageres-de-l-ouest-audois,Syndicat Mixte de Collecte et Traitement des ordures ménagères de l'Ouest Audois,SMICTOMOA,Ad-hoc,,
110606-syndicat-du-bassin-versant-du-brivet,Syndicat du Bassin Versant du Brivet,SBVB,Ad-hoc,,
110607-syndicat-intercommunal-d-electrification-de-saint-philippe-d-aiguille,Syndicat Intercommunal d'Electrification de Saint-Philippe d'Aiguille,SIESPA,Ad-hoc,,
110608-gal-de-la-pointe-de-caux,GAL de la Pointe de Caux,GALPC,Ad-hoc,,
110609-communes-dans-un-territoire-d-industrie-2023-27,Communes dans un Territoire d'industrie 2023-27,TI2023_27,Ad-hoc,,
110610-vallee-de-la-seine-et-vallee-de-la-bresle,Vallée de la Seine et Vallée de la Bresle,FTJN,Ad-hoc,,
110611-aires-d-attraction-des-zones-a-faibles-emissions-mobilite-zfe,Aires d'attraction des Zones à faibles émissions mobilité (ZFE),ZFE 2024,Ad-hoc,,
110612-perimetre-test-remi-alexia,Périmètre test Rémi-Alexia,PTRA,Ad-hoc,,
110613-syndicat-mixte-artois-valorisation,Syndicat Mixte Artois Valorisation,SMAV,Ad-hoc,,
110614-communes-de-moins-de-2000-habitants,Communes de moins de 2000 habitants,2024_-2000,Ad-hoc,,
110615-communes-de-moins-de-3500-habitants,Communes de moins de 3500 habitants,2024_-3500,Ad-hoc,,
110616-gal-castelroussin-valencay,GAL Castelroussin-Valençay,GCV,Ad-hoc,,
110617-territoire-d-energie-alsace,Territoire d'Energie Alsace,TEA,Ad-hoc,,
110618-communes-classees-en-qpv-et-en-zrr,Communes classées en QPV et en ZRR,QPV+ZRR,Ad-hoc,,
110619-hauts-de-france-et-pays-de-la-loire,Hauts-de-France et Pays de la Loire,HdF&PdL,Ad-hoc,,
