id,slug,text,perimeter,group_id,group_name
121-ardennes-departement,ardennes-departement,Conseil départemental des Ardennes,Ardennes,3.0,Conseil départemental (CD)
123-aube-departement,aube-departement,Conseil départemental de l'Aube,Aube,3.0,Conseil départemental (CD)
124-aude-departement,aude-departement,Conseil départemental de l'Aude,Aude,3.0,Conseil départemental (CD)
125-aveyron-departement,aveyron-departement,Conseil départemental de l'Aveyron,Aveyron,3.0,Conseil départemental (CD)
126-bouches-du-rhone-departement,bouches-du-rhone-departement,Conseil départemental des Bouches-du-Rhône,Bouches-du-Rhône,3.0,Conseil départemental (CD)
127-calvados-departement,calvados-departement,Conseil départemental du Calvados,Calvados,3.0,Conseil départemental (CD)
128-cantal-departement,cantal-departement,Conseil départemental du Cantal,Cantal,3.0,Conseil départemental (CD)
129-charente-departement,charente-departement,Conseil départemental de la Charente,Charente,3.0,Conseil départemental (CD)
130-charente-maritime-departement,charente-maritime-departement,Conseil départemental de la Charente-Maritime,Charente-Maritime,,
131-cher-departement,cher-departement,Conseil départemental du Cher,,,
132-correze-departement,correze-departement,Conseil départemental de la Corrèze,Corrèze,3.0,Conseil départemental (CD)
133-cote-dor-departement,cote-dor-departement,Conseil départemental de la Côte-d'Or,Côte-d'Or,3.0,Conseil départemental (CD)
134-cotes-darmor-departement,cotes-darmor-departement,Conseil départemental des Côtes-d'Armor,,,
135-creuse-departement,creuse-departement,Conseil départemental de la Creuse,Creuse,3.0,Conseil départemental (CD)
136-dordogne-departement,dordogne-departement,Conseil départemental de la Dordogne,,,
137-doubs-departement,doubs-departement,Conseil départemental du Doubs,Doubs,3.0,Conseil départemental (CD)
138-drome-departement,drome-departement,Conseil départemental de la Drôme,Drôme,3.0,Conseil départemental (CD)
139-eure-departement,eure-departement,Conseil départemental de l'Eure,Eure,3.0,Conseil départemental (CD)
140-eure-et-loir-departement,eure-et-loir-departement,Conseil départemental d'Eure-et-Loir,Eure-et-Loir,3.0,Conseil départemental (CD)
141-finistere-departement,finistere-departement,Conseil départemental du Finistère,Finistère,3.0,Conseil départemental (CD)
142-corse-du-sud-departement,corse-du-sud-departement,Conseil départemental de la Corse-du-Sud,,,
143-haute-corse-departement,haute-corse-departement,Conseil départemental de la Haute-Corse,,,
144-gard-departement,gard-departement,Conseil départemental du Gard,Gard,3.0,Conseil départemental (CD)
145-haute-garonne-departement,haute-garonne-departement,Conseil départemental de la Haute-Garonne,,,
147-gironde-departement,gironde-departement,Conseil départemental de la Gironde,Gironde,3.0,Conseil départemental (CD)
148-herault-departement,herault-departement,Conseil départemental de l'Hérault,Hérault,3.0,Conseil départemental (CD)
149-ille-et-vilaine-departement,ille-et-vilaine-departement,Conseil départemental de l'Ille-et-Vilaine,Ille-et-Vilaine,3.0,Conseil départemental (CD)
150-indre-departement,indre-departement,Conseil départemental de l'Indre,,,
151-indre-et-loire-departement,indre-et-loire-departement,Conseil départemental d'Indre-et-Loire,Indre-et-Loire,3.0,Conseil départemental (CD)
152-isere-departement,isere-departement,Conseil départemental de l'Isère,Isère,3.0,Conseil départemental (CD)
153-jura-departement,jura-departement,Conseil départemental du Jura,,,
155-loir-et-cher-departement,loir-et-cher-departement,Conseil départemental du Loir-et-Cher,,,
156-loire-departement,loire-departement,Conseil départemental de la Loire,Loire,3.0,Conseil départemental (CD)
157-haute-loire-departement,haute-loire-departement,Conseil départemental de la Haute-Loire,Haute-Loire,3.0,Conseil départemental (CD)
158-loire-atlantique-departement,loire-atlantique-departement,Conseil départemental de la Loire-Atlantique,,,
159-loiret-departement,loiret-departement,Conseil départemental du Loiret,Loiret,3.0,Conseil départemental (CD)
161-lot-et-garonne-departement,lot-et-garonne-departement,Conseil départemental de Lot-et-Garonne,Lot-et-Garonne,3.0,Conseil départemental (CD)
162-lozere-departement,lozere-departement,Conseil départemental de la Lozère,Lozère,3.0,Conseil départemental (CD)
163-maine-et-loire-departement,maine-et-loire-departement,Conseil départemental du Maine-et-Loire,,,
164-manche-departement,manche-departement,Conseil départemental de la Manche,Manche,3.0,Conseil départemental (CD)
165-marne-departement,marne-departement,Conseil départemental de la Marne,Marne,3.0,Conseil départemental (CD)
166-haute-marne-departement,haute-marne-departement,Conseil départemental de la Haute-Marne,Haute-Marne,3.0,Conseil départemental (CD)
167-mayenne-departement,mayenne-departement,Conseil départemental de la Mayenne,,,
168-meurthe-et-moselle-departement,meurthe-et-moselle-departement,Conseil départemental de Meurthe-et-Moselle,Meurthe-et-Moselle,3.0,Conseil départemental (CD)
170-morbihan-departement,morbihan-departement,Conseil départemental du Morbihan,Morbihan,3.0,Conseil départemental (CD)
171-moselle-departement,moselle-departement,Conseil départemental de la Moselle,Moselle,3.0,Conseil départemental (CD)
172-nievre-departement,nievre-departement,Conseil départemental de la Nièvre,Nièvre,3.0,Conseil départemental (CD)
173-nord-departement,nord-departement,Conseil départemental du Nord,Nord,3.0,Conseil départemental (CD)
174-oise-departement,oise-departement,Conseil départemental de l'Oise,Oise,3.0,Conseil départemental (CD)
175-orne-departement,orne-departement,Conseil départemental de l'Orne,Orne,3.0,Conseil départemental (CD)
176-pas-de-calais-departement,pas-de-calais-departement,Conseil départemental du Pas-de-Calais,,,
177-puy-de-dome-departement,puy-de-dome-departement,Conseil départemental du Puy-de-Dôme,Puy-de-Dôme,3.0,Conseil départemental (CD)
178-pyrenees-atlantiques-departement,pyrenees-atlantiques-departement,Conseil départemental des Pyrénées-Atlantiques,,,
179-hautes-pyrenees-departement,hautes-pyrenees-departement,Conseil départemental des Hautes-Pyrénées,Hautes-Pyrénées,3.0,Conseil départemental (CD)
180-pyrenees-orientales-departement,pyrenees-orientales-departement,Conseil départemental des Pyrénées-Orientales,,,
181-bas-rhin-departement,bas-rhin-departement,Conseil départemental du Bas-Rhin,,,
182-haut-rhin-departement,haut-rhin-departement,Conseil départemental du Haut-Rhin,,,
183-rhone-departement,rhone-departement,Conseil départemental du Rhône,Rhône,3.0,Conseil départemental (CD)
184-haute-saone-departement,haute-saone-departement,Conseil départemental de la Haute-Saône,,,
185-saone-et-loire-departement,saone-et-loire-departement,Conseil départemental de Saône-et-Loire,Saône-et-Loire,3.0,Conseil départemental (CD)
186-sarthe-departement,sarthe-departement,Conseil départemental de la Sarthe,,,
187-departemental-de-la-savoie,departemental-de-la-savoie,Départemental de la Savoie,Savoie,,
188-haute-savoie-departement,haute-savoie-departement,Conseil départemental de la Haute-Savoie,Haute-Savoie,3.0,Conseil départemental (CD)
189-paris-departement,paris-departement,Conseil de Paris,Paris,112.0,Commune
190-seine-maritime-departement,seine-maritime-departement,Conseil départemental de la Seine-Maritime,Seine-Maritime,3.0,Conseil départemental (CD)
191-seine-et-marne-departement,seine-et-marne-departement,Conseil départemental de la Seine-et-Marne,Seine-et-Marne,3.0,Conseil départemental (CD)
192-yvelines-departement,yvelines-departement,Conseil départemental des Yvelines,Yvelines,3.0,Conseil départemental (CD)
193-deux-sevres-departement,deux-sevres-departement,Conseil départemental des Deux-Sèvres,,,
194-somme-departement,somme-departement,Conseil départemental de la Somme,Somme,3.0,Conseil départemental (CD)
196-tarn-et-garonne-departement,tarn-et-garonne-departement,Conseil départemental du Tarn-et-Garonne,Tarn-et-Garonne,3.0,Conseil départemental (CD)
197-var-departement,var-departement,Conseil départemental du Var,,,
198-vaucluse-departement,vaucluse-departement,Conseil départemental du Vaucluse,Vaucluse,3.0,Conseil départemental (CD)
199-vendee-departement,vendee-departement,Conseil départemental de la Vendée,Vendée,3.0,Conseil départemental (CD)
200-vienne-departement,vienne-departement,Conseil départemental de la Vienne,Vienne,3.0,Conseil départemental (CD)
201-haute-vienne-departement,haute-vienne-departement,Conseil départemental de la Haute-Vienne,Haute-Vienne,3.0,Conseil départemental (CD)
202-vosges-departement,vosges-departement,Conseil départemental des Vosges,,,
203-yonne-departement,yonne-departement,Conseil départemental de l'Yonne,Yonne,3.0,Conseil départemental (CD)
